latent_dim1,latent_dim2,door_open/min (ratio),door_move/min (ratio),door_error/min (ratio),door_close/min (ratio),x,y,z,pressure,pressure_base,temparature(°C),size
2.3018544,2.923373,-0.049930263,0.9185465,-0.09949921,-0.27593365,-0.1056727,0.18632959,-0.046707876,-0.87216073,-0.93350554,-0.39398447,1.0
0.99252987,1.1464031,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.011805684,-0.109368935,0.04225368,0.30683908,0.091754906,1.3809981,1.0
1.9688008,-3.9061115,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.0029954875,0.23478767,-0.22551017,-1.2259363,-1.2792683,-0.8857284,1.0
1.8418018,3.1708229,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.17112099,0.20788907,0.054614577,-0.56568134,-0.25402945,-1.2416471,1.0
0.3521176,2.51558,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.012704107,-0.12863483,0.110337496,0.5083629,0.87857467,-1.0121839,1.0
-4.3378973,-1.1587992,-0.45447063,6.553075,-0.09949921,-1.9830053,-0.0035005645,-0.123319,0.280067,0.16383636,0.12567905,-0.1227983,1.0
0.89386576,1.3752882,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.003997086,-0.109614134,0.007254396,0.0799434,0.45602372,0.9279161,1.0
-0.4542362,1.5639231,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.15071361,-0.17912935,0.1415191,1.7455055,1.5055126,0.046924114,1.0
-0.34386516,1.4165045,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.004561207,-0.13265795,0.14494175,1.4433143,1.2366892,0.38606134,1.0
0.7604962,-4.197727,2.2733052,-0.41563052,-0.09949921,-1.9830053,-0.045630172,0.21750389,-0.096912004,-0.10079116,0.25999358,1.2062715,1.0
2.4002538,2.601695,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.013525482,-0.12629575,0.082280785,-0.9036074,-0.7848742,-0.2068713,1.0
1.1925945,2.044805,-0.0056964103,0.28856796,-0.09949921,-0.08412681,-0.035157166,-0.07748169,0.08600801,0.1749352,0.068066314,0.054649387,1.0
2.8952677,3.917494,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.103941366,-0.22204776,0.35860375,-1.3039856,-1.0475001,-1.9164819,1.0
1.5097862,4.0269146,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.123964466,0.22502007,0.17777488,-0.026063154,-0.27694067,-2.6955695,1.0
1.7538521,0.12956595,-0.1522874,-0.41563052,1.9010217,-0.03656001,0.05857277,0.7026367,-0.0822454,1.0050571,0.9118726,1.0276023,1.0
0.31868502,2.525361,-0.6209776,-0.41563052,-0.09949921,0.7603375,0.017133031,-0.099472426,0.12525095,0.8530156,0.5986735,-1.0484531,1.0
0.031604603,2.4453554,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.013764747,-0.095199235,0.20543246,0.9051255,1.0108162,-1.0147985,1.0
1.8393853,0.15428895,-0.16678299,-0.41563052,1.8750409,-0.018240498,-0.12710647,0.48395768,0.19810301,0.4440611,0.8326875,1.4272996,1.0
2.7829483,2.6445556,-0.6209776,-0.41563052,-0.09949921,0.7603375,-0.14219984,0.23823383,-0.12082007,-1.1533524,-1.0670643,-0.026806131,1.0
